file_name,file_size,pdf_version,entropy,keyword_JS,keyword_JavaScript,keyword_AA,keyword_OpenAction,keyword_Launch,keyword_EmbeddedFile,keyword_URI,keyword_ObjStm,class,keyword_sum,keyword_density
02eounrel.pdf,396936,1.4,7.94735,0,0,0,0,0,0,0,0,0,0,0.0
02frrltr.pdf,250800,1.6,7.832371,0,0,0,0,0,0,0,0,0,0,0.0
02govbnd.pdf,246975,1.4,7.855326,0,0,0,0,0,0,0,0,0,0,0.0
02solp.pdf,367605,1.2,7.940832,0,0,0,0,0,0,0,0,0,0,0.0
030.pdf,32782,1.4,7.769163,0,0,0,1,0,0,0,0,0,1,3.0503614678339382e-05
031mandelson.pdf,67683,1.4,6.749298,0,0,0,0,0,0,0,0,0,0,0.0
032.pdf,66789,1.4,7.80283,0,0,0,0,0,0,0,0,0,0,0.0
033.pdf,14845,1.4,7.159539,0,0,0,1,0,0,0,0,0,1,6.735821096591675e-05
036.pdf,15797,1.4,7.351014,0,0,0,1,0,0,0,0,0,1,6.3299151791366e-05
03herman.pdf,170338,1.6,7.750302,0,0,0,1,0,0,16,0,0,17,9.980098509442934e-05
041.pdf,227816,1.4,6.451842,1,0,0,0,0,0,0,0,0,1,4.389488054008261e-06
041211-arl-ala-reply-comments.pdf,146609,1.3,7.967588,0,0,1,0,0,0,0,0,0,1,6.82081713389264e-06
041211-MLA.pdf,175564,1.5,7.959619,0,0,0,0,0,0,0,1,0,1,5.695896106855011e-06
041211-society-of-american-archivists.pdf,251034,1.5,7.989487,0,0,0,0,0,0,0,1,0,1,3.983508275738443e-06
041411jgregg-gautereaux.pdf,329269,1.5,7.982532,0,0,0,0,0,0,0,1,0,1,3.0370212895192396e-06
041411riaa-aaim.pdf,89597,1.3,7.965845,0,0,0,0,0,0,0,0,0,0,0.0
041412arsc.pdf,130658,1.4,7.876025,0,0,0,0,0,0,0,0,0,0,0.0
041413future-music-coalition.pdf,182234,1.3,7.963341,0,0,0,0,0,0,0,0,0,0,0.0
041413nab.pdf,39018,1.5,7.632724,0,0,0,0,0,0,0,14,0,14,0.000358799559189113
041413patrick-loughney.pdf,74917,1.4,7.838194,0,0,0,0,0,0,0,0,0,0,0.0
041413sirius-xm-radio.pdf,42076,1.4,7.484657,0,0,0,0,0,0,0,0,0,0,0.0
042301f.pdf,46374,1.2,7.401498,0,0,0,0,0,0,0,0,0,0,0.0
042302f.pdf,13568,1.2,7.419505,0,0,0,0,0,0,0,0,0,0,0.0
042303f.pdf,17459,1.2,7.101322,0,0,0,0,0,0,0,0,0,0,0.0
042304f.pdf,46182,1.3,7.838871,0,0,0,0,0,0,0,0,0,0,0.0
042305f.pdf,29152,1.2,7.352584,0,0,0,0,0,0,0,0,0,0,0.0
042306f.pdf,46348,1.2,7.463281,0,0,0,0,0,0,0,0,0,0,0.0
042307f.pdf,15521,1.2,6.933751,0,0,0,0,0,0,0,0,0,0,0.0
042308f.pdf,42074,1.2,7.408799,0,0,0,0,0,0,0,0,0,0,0.0
042901f.pdf,58341,1.2,7.74207,0,0,0,0,0,0,0,0,0,0,0.0
042902f.pdf,18179,1.2,7.224538,0,0,0,0,0,0,0,0,0,0,0.0
042903f.pdf,49720,1.2,7.796974,0,0,0,0,0,0,0,0,0,0,0.0
043.pdf,25634,1.4,7.462206,0,0,0,1,0,0,0,0,0,1,3.900916715428125e-05
043101f.pdf,26280,1.2,7.632504,0,0,0,0,0,0,0,0,0,0,0.0
043102f.pdf,46381,1.2,7.462323,0,0,0,0,0,0,0,0,0,0,0.0
043103f.pdf,25516,1.2,7.559677,0,0,0,0,0,0,0,0,0,0,0.0
044101f.pdf,21682,1.2,7.586767,0,0,0,0,0,0,0,0,0,0,0.0
044102f.pdf,95626,1.3,7.953031,0,0,0,0,0,0,0,0,0,0,0.0
044103f.pdf,31402,1.2,7.674053,0,0,0,0,0,0,0,0,0,0,0.0
045time_warner.pdf,23681,1.4,7.265096,0,0,0,0,0,0,0,0,0,0,0.0
04alm.pdf,31371,1.2,7.425689,0,0,0,0,0,0,0,0,0,0,0.0
04dubin.pdf,148948,1.2,7.666998,0,0,0,0,0,0,0,0,0,0,0.0
04fidart.pdf,197328,1.4,7.842083,0,0,0,0,0,0,0,0,0,0,0.0
04finkelstein.pdf,34634,1.6,6.693881,0,0,0,1,0,0,16,0,0,17,0.000490832972426736
04ludasa.pdf,122538,1.2,7.767678,0,0,0,1,0,0,0,0,0,1,8.160667216151593e-06
04spintr.pdf,278495,1.3,7.952127,0,0,0,0,0,0,0,0,0,0,0.0
050201f.pdf,16851,1.2,7.177228,0,0,0,0,0,0,0,0,0,0,0.0
050202f.pdf,11576,1.2,7.118482,0,0,0,0,0,0,0,0,0,0,0.0
050203f.pdf,24051,1.2,7.175287,0,0,0,0,0,0,0,0,0,0,0.0
050societyaa.pdf,20638,1.4,7.295677,0,0,0,0,0,0,0,0,0,0,0.0
051001f.pdf,25817,1.4,7.580577,0,0,0,0,0,0,0,0,0,0,0.0
051801f.pdf,71424,1.4,7.766925,0,0,0,0,0,0,0,0,0,0,0.0
051802f.pdf,24996,1.4,7.508269,0,0,0,0,0,0,0,0,0,0,0.0
051nfais.pdf,48050,1.4,7.328854,0,0,0,0,0,0,0,0,0,0,0.0
052005-lore.pdf,280843,1.5,7.60523,0,0,0,0,0,0,0,0,0,0,0.0
052501f.pdf,19893,1.4,7.181329,0,0,0,0,0,0,0,0,0,0,0.0
055.pdf,11493,1.4,7.176666,0,0,0,1,0,0,0,0,0,1,8.700191404210893e-05
055201f.pdf,25694,1.4,7.38172,0,0,0,0,0,0,0,0,0,0,0.0
055202f.pdf,25560,1.4,7.534289,0,0,0,0,0,0,0,0,0,0,0.0
055203f.pdf,82952,1.4,7.79528,0,0,0,0,0,0,0,0,0,0,0.0
056arromdee.pdf,111108,1.4,7.457298,0,0,0,1,0,0,1,0,0,2,1.8000342006498124e-05
058hull.pdf,16021,1.4,7.107065,0,0,0,0,0,0,0,0,0,0,0.0
059siia.pdf,46225,1.4,7.477544,0,0,0,0,0,0,0,0,0,0,0.0
05co1120sfigb.pdf,11001,1.4,6.30756,0,0,0,0,0,0,0,0,0,0,0.0
05co1120sfige.pdf,11191,1.4,6.260964,0,0,0,0,0,0,0,0,0,0,0.0
05co1120sfigf.pdf,10992,1.4,6.302649,0,0,0,0,0,0,0,0,0,0,0.0
05eonta.pdf,111194,1.4,7.782945,0,0,0,0,0,0,0,0,0,0,0.0
05lohmann.pdf,196492,1.3,7.690592,0,0,0,1,0,0,52,0,0,53,0.00026972971047314664
060901f.pdf,32820,1.4,7.388936,0,0,0,0,0,0,0,0,0,0,0.0
060902f.pdf,18683,1.4,7.07319,0,0,0,0,0,0,0,0,0,0,0.0
061701f.pdf,19901,1.4,6.987161,0,0,0,0,0,0,0,0,0,0,0.0
061702f.pdf,17719,1.4,7.317478,0,0,0,0,0,0,0,0,0,0,0.0
061703f.pdf,35137,1.4,7.378765,0,0,0,0,0,0,0,0,0,0,0.0
062201f.pdf,27754,1.4,7.161621,0,0,0,0,0,0,0,0,0,0,0.0
062701f.pdf,51377,1.4,7.770544,0,0,0,0,0,0,0,0,0,0,0.0
062801f.pdf,23036,1.4,7.490922,0,0,0,0,0,0,0,0,0,0,0.0
